fast,normal
32,42
31,42
32,42
31,42
31,42
32,42
31,43
31,42
32,43
32,42
32,42
31,41
32,42
32,41
31,42
31,41
31,42
32,43
32,43
32,41
32,42
31,42
31,42
31,42
31,42
31,43
32,42
32,42
32,42
32,42
31,42
31,42
31,42
31,42
31,41
31,41
32,42
32,42
31,41
32,43
31,42
31,42
31,43
31,42
32,42
32,43
31,42
32,43
31,42
31,42
32,42
31,42
31,42
31,42
33,42
31,43
31,42
32,41
33,42
32,42
31,42
32,42
33,41
31,43
32,41
31,43
32,42
31,41
32,43
32,41
32,42
31,42
32,42
32,42
31,42
32,42
32,42
31,42
31,42
32,42
32,41
32,42
31,42
31,42
31,42
31,42
32,43
32,41
31,42
63,71
63,63
73,71
38,44
32,42
31,41
32,42
32,43
32,42
32,42
32,42
32,42
34,16651
31,42
45,61
36,130
34,46
32,47
34,44
119,46
33,45
34,45
35,43
42,47
37,48
38,47
32,42
32,43
31,42
31,42
31,41
38,47
40,51
38,50
39,48
43,48
32,42
41,47
40,45
39,48
42,49
35,48
35,45
43,48
31,42
31,42
31,41
31,42
45,49
41,48
41,48
40,48
40,48
40,47
38,48
41,49
32,43
39,49
40,47
42,49
43,49
39,50
42,47
44,48
41,50
40,46
42,49
41,48
40,47
42,50
42,49
43,49
42,48
40,49
42,48
44,48
39,50
42,49
44,49
44,48
45,50
43,47
41,50
43,47
42,48
43,49
42,48
39,43
43,49
33,43
31,43
32,42
31,43
43,49
40,52
41,49
37,48
39,49
41,47
38,51
44,49
41,48
43,48
43,48
39,48
41,48
43,47
42,47
42,47
41,50
40,51
38,46
40,49
33,43
32,43
31,43
32,43
44,50
44,48
41,49
39,50
42,48
43,47
42,50
41,48
41,47
33,45
36,47
31,43
44,48
32,43
32,43
32,43
32,43
43,47
44,47
43,48
39,49
40,47
39,47
41,47
41,49
42,47
41,50
44,47
40,48
40,49
42,47
40,48
41,49
43,49
42,48
41,49
42,48
43,51
42,51
42,48
32,47
38,46
36,43
42,49
32,43
44,49
43,49
43,48
37,48
44,49
41,49
39,48
43,50
41,48
40,46
38,49
41,49
39,48
44,48
42,48
43,48
41,49
39,48
41,47
41,48
41,49
40,49
42,49
42,49
